 
                                                                                                                                                                                                                                                                
 
 
Class Variable Summary Statistics

Data Role=TEST Output Type=SEGMENT

            Numeric    Formatted    Frequency
Variable     Value       Value        Count      Percent
 _NODE_       212         212           11       0.22204
 _NODE_       213         213           87       1.75616
 _NODE_       214         214           36       0.72669
 _NODE_       215         215           20       0.40371
 _NODE_       222         222            1       0.02019
 _NODE_       223         223           15       0.30279
 _NODE_       224         224            6       0.12111
 _NODE_       225         225           35       0.70650
 _NODE_       226         226           21       0.42390
 _NODE_       230         230           15       0.30279
 _NODE_       231         231           73       1.47356
 _NODE_       232         232           23       0.46427
 _NODE_       233         233           17       0.34316
 _NODE_       234         234           30       0.60557
 _NODE_       235         235           15       0.30279
 _NODE_       236         236            3       0.06056
 _NODE_       237         237            2       0.04037
 _NODE_       238         238           38       0.76706
 
                                                                                                                                                                                                                                                                
 
 
Interval Variable Summary Statistics

Variable Name=P_median_house_value

Statistics    Label                   TRAIN       VALIDATE       TEST

  MEAN        Mean                  207149.75    209491.92    205960.14
  STD         Standard Deviation     99925.93    101643.47    100141.83
  N           Non Missing             6605.00      4954.00      4953.00
  MIN         Minimum                60315.09     60315.09     60315.09
  P25         25th Percentile       127787.78    134491.78    127787.78
  MEDIAN      Median                192085.71    192085.71    187793.33
  P75         75th Percentile       264496.43    265913.36    264051.38
  MAX         Maximum               493042.84    493042.84    493042.84
